Country,Year,Total Words,Estimated Minutes,climate change (count),conflict (count),extreme poverty (count),climate change per 100 words,conflict per 100 words,extreme poverty per 100 words,climate change minutes per mention,conflict minutes per mention,extreme poverty minutes per mention
USA,2017,4703,36.18,0,7,0,0.0,0.1488411652136934,0.0,,5.1681318681318675,
USA,2018,3716,28.58,0,2,0,0.0,0.05382131324004305,0.0,,14.292307692307693,
USA,2019,3933,30.25,0,1,0,0.0,0.02542588354945334,0.0,,30.253846153846155,
USA,2020,1059,8.15,0,0,0,0.0,0.0,0.0,,,
USA,2021,4553,35.02,4,4,0,0.08785416209092906,0.08785416209092906,0.0,8.75576923076923,8.75576923076923,
USA,2022,3963,30.48,5,4,0,0.12616704516780217,0.10093363613424174,0.0,6.096923076923077,7.621153846153846,
FRANCE,2017,4683,36.02,5,5,0,0.10676916506512919,0.10676916506512919,0.0,7.204615384615384,7.204615384615384,
FRANCE,2018,5727,44.05,4,4,1,0.06984459577440195,0.06984459577440195,0.01746114894360049,11.013461538461538,11.013461538461538,44.05384615384615
FRANCE,2019,5051,38.85,9,2,0,0.17818253811126508,0.039596119580281135,0.0,4.317094017094018,19.426923076923078,
FRANCE,2020,7239,55.68,4,1,3,0.055256250863378924,0.013814062715844731,0.04144218814753419,13.921153846153846,55.684615384615384,18.56153846153846
FRANCE,2021,2275,17.5,0,2,0,0.0,0.0879120879120879,0.0,,8.75,
FRANCE,2022,3875,29.81,1,8,1,0.025806451612903226,0.2064516129032258,0.025806451612903226,29.807692307692307,3.7259615384615383,29.807692307692307
CHN,2017,2496,19.2,2,3,0,0.08012820512820512,0.1201923076923077,0.0,9.6,6.3999999999999995,
CHN,2018,2862,22.02,2,1,0,0.06988120195667365,0.034940600978336823,0.0,11.007692307692308,22.015384615384615,
CHN,2019,2840,21.85,1,0,0,0.035211267605633804,0.0,0.0,21.846153846153847,,
CHN,2020,1928,14.83,1,0,0,0.05186721991701245,0.0,0.0,14.830769230769231,,
CHN,2021,1605,12.35,1,0,0,0.06230529595015576,0.0,0.0,12.346153846153847,,
CHN,2022,3163,24.33,2,1,0,0.06323110970597534,0.03161555485298767,0.0,12.165384615384616,24.33076923076923,
UK,2017,3394,26.11,1,8,0,0.02946375957572186,0.2357100766057749,0.0,26.107692307692307,3.2634615384615384,
UK,2018,2813,21.64,1,4,1,0.03554923569143263,0.14219694276573053,0.03554923569143263,21.638461538461538,5.4096153846153845,21.638461538461538
UK,2019,2200,16.92,1,1,0,0.045454545454545456,0.045454545454545456,0.0,16.923076923076923,16.923076923076923,
UK,2020,2286,17.58,1,0,0,0.043744531933508315,0.0,0.0,17.584615384615386,,
UK,2021,3085,23.73,4,0,0,0.12965964343598055,0.0,0.0,5.9326923076923075,,
UK,2022,1937,14.9,1,1,0,0.05162622612287042,0.05162622612287042,0.0,14.9,14.9,
RUS,2017,2945,22.65,0,5,0,0.0,0.1697792869269949,0.0,,4.530769230769231,
RUS,2018,2478,19.06,1,4,0,0.04035512510088781,0.16142050040355124,0.0,19.06153846153846,4.765384615384615,
RUS,2019,3100,23.85,1,6,0,0.03225806451612903,0.1935483870967742,0.0,23.846153846153847,3.9743589743589745,
RUS,2020,2437,18.75,1,3,0,0.04103405826836274,0.12310217480508823,0.0,18.746153846153845,6.248717948717949,
RUS,2021,2816,21.66,0,1,0,0.0,0.03551136363636364,0.0,,21.661538461538463,
RUS,2022,3357,25.82,0,3,0,0.0,0.08936550491510277,0.0,,8.607692307692307,
